"Player","Rating","Games","1st","2nd","Lag"
4381959,1483.91313765168,4,0,0,6100
26667745,1483.88812850254,4,0,0,25135
11626091,1483.85039912017,8,1,1,7454
14569713,1483.84644187156,10,0,0,23070
10248474,1483.82742289313,14,0,0,18349
4745025,1483.80608553698,12,0,3,2462
14846359,1483.79424233111,5,1,0,11264
15597218,1483.78270045761,1,0,0,1253
11577732,1483.75283307713,4,0,0,667
18866511,1483.73856762259,11,0,0,16620
9477784,1483.73792666281,26,0,1,1230
6024493,1483.71075907642,2,0,0,918
17994125,1483.69229692807,1,0,0,1116
11187258,1483.68725802959,2,0,0,702
21250473,1483.66241846378,5,0,2,14040
33096535,1483.5522963295,10,3,3,1361
8344751,1483.55206416905,3,0,0,4955
14238097,1483.4830908465,26,3,2,3507
14162368,1483.45953267606,33,0,0,15170
12353810,1483.43619461236,19,0,0,9730
17140863,1483.42623536444,2,0,0,8039
17363929,1483.41199784309,2,0,0,27277
16039046,1483.39410416566,2,0,0,16532
11191540,1483.38078805304,1,0,0,15393
17325741,1483.3385915202,5,0,0,29529
16112715,1483.32987738476,81,0,2,78
8177530,1483.31927778397,1,0,0,20491
21263051,1483.295917647,13,0,1,416
11111669,1483.27257909169,263,52,69,429
15504921,1483.22600031036,33,0,4,126
5221616,1483.20736971603,11,0,0,14617
8567704,1483.1865,2,0,0,20372
1482519,1483.05084980274,12,1,1,11719
32478127,1483.0410406905,4,0,0,28960
12688176,1483.03692087573,1,0,0,14831
15226762,1483.03574427465,9,0,0,5397
14367465,1483.01240538676,143,15,5,142
10586426,1482.99107488709,2,0,0,25563
18151493,1482.97258649132,12,0,2,2469
17867471,1482.96281497162,7,3,0,3458
18263974,1482.94168722515,9,0,1,25896
28450995,1482.92230799374,1,0,0,1344
11639738,1482.90416211401,25,2,2,385
6465811,1482.84825964117,1,0,0,5390
27277958,1482.83300193852,2,0,0,4922
16466999,1482.8279786035,7,0,0,28848
13836587,1482.82597124066,2,0,0,7252
12626424,1482.81165860376,6,0,0,25132
21820489,1482.77211663908,3,0,0,21966
10007738,1482.76926474896,15,0,0,819
6845864,1482.75676144982,1,0,0,1383
4128132,1482.71599489871,25,0,2,447
15222223,1482.68384264467,3,0,0,15376
20133680,1482.6334685509,39,0,1,20235
13968040,1482.53062862766,1,0,0,660
19299326,1482.50873749121,1,0,0,8039
30158805,1482.49254308878,3,0,0,14060
20634275,1482.4708634075,12,0,0,4950
5884773,1482.45392363074,11,0,1,1616
15231398,1482.34989290604,7,1,0,29812
8039426,1482.30645331644,21,1,0,19954
15372835,1482.27722976595,4,0,0,1220
25095822,1482.20512234824,1,0,0,730
31547675,1482.14308721452,1,0,0,1344
14104256,1482.09843362863,4,0,0,2409
12448135,1482.0976598885,31,4,7,1528
30189313,1482.09112862045,2,0,0,22848
18670029,1482.09051062729,10,2,2,28274
26305078,1482.08462154234,14,0,0,187
3794345,1482.07638404379,92,14,21,489
15312886,1482.03283736457,10,0,0,3060
13210616,1482.02199598262,65,3,5,10121
18004953,1481.94979610377,100,15,12,13
7704164,1481.94006513069,2,0,0,2248
10800278,1481.93905089,2,0,0,28211
4956099,1481.83108653233,8,0,0,12144
15297611,1481.81752127013,5,0,5,12244
14067227,1481.72656433561,3,0,0,10605
6433474,1481.6920626272,15,1,0,14921
29811164,1481.66694881875,3,0,0,2515
3741057,1481.6567548976,3,0,0,22829
22624380,1481.65659132726,2,0,0,24972
22295165,1481.61685178822,12,1,1,26810
7521711,1481.60921871569,4,0,0,14707
10238090,1481.58451363374,10,0,0,29315
16464944,1481.5025026619,10,0,0,22069
10649224,1481.49025684208,25,0,0,12454
15379548,1481.48197922437,33,1,3,405
8624493,1481.48129178021,1,0,0,21966
20512411,1481.43649493529,1,0,0,5390
17018207,1481.29333342747,5,0,0,26309
6934358,1481.27432166828,26,4,2,1774
10818834,1481.16665592371,32,0,0,5720
8903870,1481.15519804807,1,0,0,1289
9746556,1481.08015763992,15,1,0,23464
29526633,1481.06761994261,36,0,1,1208
12186880,1481.05286751189,12,0,0,393
