"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","Lag"
22274187,1327.63648828556,24,2,3,0,0,0,0,466
21773155,1327.63559327175,64,9,7,0,0,0,0,12382
10466606,1327.62550618544,20,0,0,0,0,0,0,56886
21101642,1327.57836997858,49,1,0,0,0,0,0,6168
27567389,1327.565924836,9,1,3,0,0,0,0,58050
10671830,1327.52909701116,59,2,0,0,0,0,0,5002
17804514,1327.52591417778,15,0,0,0,0,0,0,21664
18373250,1327.45700431831,59,5,12,0,0,0,0,12330
17249693,1327.38911419213,7,0,0,0,0,0,0,110768
12311109,1327.36275378712,100,8,6,0,0,0,0,1496
18780375,1327.34697877294,26,1,1,0,0,0,0,2925
11502817,1327.31887841937,13,0,0,0,0,0,0,137452
8893228,1327.25387803586,10,0,6,0,0,0,0,88588
17393327,1327.23760765569,7,0,0,0,0,0,0,56773
7309946,1327.19235465566,16,0,1,0,0,0,0,19497
11772577,1327.18609801809,30,0,0,0,0,0,0,125071
14626922,1327.15655559133,10,0,0,0,0,0,0,136220
21453094,1327.03470583508,55,21,9,0,0,0,0,15200
9009104,1326.90788371333,180,16,21,0,0,0,0,1988
32679990,1326.86034106485,12,0,0,0,0,0,0,8492
7789098,1326.81208059812,19,0,0,0,0,0,0,34660
10558588,1326.80288434222,218,42,56,0,0,0,0,1022
33732816,1326.70611824506,6,0,0,0,0,0,0,45142
16082512,1326.70350687092,43,7,10,0,0,0,0,40430
27992138,1326.69566514537,15,0,1,0,0,0,0,345
18901419,1326.6852519856,744,59,90,0,0,0,0,245
21813479,1326.68059331824,21,0,0,0,0,0,0,14635
12665719,1326.67313970409,9,0,0,0,0,0,0,64160
4833676,1326.59453130644,18,2,1,0,0,0,0,59174
12900042,1326.54598556626,76,0,0,0,0,0,0,1523
18525886,1326.52746276635,23,2,1,0,0,0,0,25743
11627211,1326.51799758383,8,0,0,0,0,0,0,76887
25770255,1326.49678139845,9,0,0,0,0,0,0,70421
11371546,1326.39938343075,17,0,2,0,0,0,0,17157
28975839,1326.25351031297,14,0,0,0,0,0,0,49052
10811597,1326.22966350456,651,14,43,0,0,0,0,199
17543434,1326.13279486729,9,0,0,0,0,0,0,75896
19917226,1326.05926175708,30,0,1,0,0,0,0,9150
16171602,1326.05397613204,32,3,5,0,0,0,0,125657
11198067,1326.01163213983,19,0,0,0,0,0,0,18275
19077461,1325.92101283094,8,0,0,0,0,0,0,79523
15487807,1325.90815674304,11,0,0,0,0,0,0,122064
28283778,1325.86268246336,31,0,0,0,0,0,0,17371
25506182,1325.83454181852,7,0,0,0,0,0,0,49580
21309327,1325.81450430075,10,0,0,0,0,0,0,12348
19261138,1325.77320594904,114,18,24,0,0,0,0,17297
11872308,1325.74866489837,8,0,5,0,0,0,0,13199
19471193,1325.73339838261,21,0,2,0,0,0,0,54923
15428155,1325.68015349073,7,0,0,0,0,0,0,101325
11015571,1325.66970184798,548,97,111,0,0,0,0,18
27652110,1325.5912926885,14,0,0,0,0,0,0,68196
32270228,1325.58629084034,10,0,0,0,0,0,0,102418
12792695,1325.55671126099,31,2,0,0,0,0,0,69404
4652236,1325.52239009798,79,9,3,0,0,0,0,755
9083516,1325.44328274269,135,16,16,0,0,0,0,5862
28076386,1325.43736776294,6,0,0,0,0,0,0,99166
11966251,1325.43107135778,24,4,7,0,0,0,0,6167
8231340,1325.35806823897,101,0,2,0,0,0,0,16164
30929847,1325.32831048478,15,0,0,0,0,0,0,130216
6191558,1325.29073340355,9,1,4,0,0,0,0,12287
15163747,1325.25746935338,14,2,5,0,0,0,0,71010
13807673,1325.22304444063,25,0,0,0,0,0,0,27735
17807638,1325.15720341029,15,0,0,0,0,0,0,16545
31959414,1325.09030019498,6,0,0,0,0,0,0,9545
23040495,1325.08206916877,7,0,0,0,0,0,0,130571
19386392,1325.01309282416,7,0,0,0,0,0,0,128116
14259569,1325.00992040579,10,0,0,0,0,0,0,102418
19300413,1324.97914830875,10,0,0,0,0,0,0,45658
13476700,1324.95654905878,13,0,0,0,0,0,0,127612
19547995,1324.94754767331,16,0,0,0,0,0,0,65618
19412255,1324.9423351298,197,10,10,0,0,0,0,413
9266841,1324.94068667808,20,1,1,0,0,0,0,122633
24650564,1324.9227147306,10,0,0,0,0,0,0,11176
12551750,1324.90835028279,23,0,0,0,0,0,0,48756
4722369,1324.87281251502,94,5,0,0,0,0,0,2495
16222567,1324.87071938176,265,15,28,0,0,0,0,1022
28688555,1324.8262627277,11,0,0,0,0,0,0,97502
16176654,1324.79187672218,12,2,4,0,0,0,0,40903
29195713,1324.78472268901,11,0,0,0,0,0,0,97502
9383149,1324.77682327417,11,0,0,0,0,0,0,79353
17322756,1324.7590910181,11,1,2,0,0,0,0,48503
7945039,1324.73222011484,17,0,0,0,0,0,0,47794
18531496,1324.71131105811,24,1,0,0,0,0,0,24
10445274,1324.70837656132,62,4,2,0,0,0,0,42580
5932067,1324.46181547865,16,2,1,0,0,0,0,128542
16627311,1324.34649829681,8,0,0,0,0,0,0,46241
17847990,1324.32558192333,428,89,109,0,0,0,0,32306
29604067,1324.31775123343,8,0,0,0,0,0,0,9545
7262993,1324.25784619006,52,3,14,0,0,0,0,36877
23873502,1324.22682790172,14,3,1,0,0,0,0,75716
19182529,1324.16141969903,10,0,0,0,0,0,0,100210
7229384,1324.09207584797,10,0,0,0,0,0,0,72078
17965764,1324.08616711449,9,0,1,0,0,0,0,35343
19965793,1324.01356012645,36,2,7,0,0,0,0,516
15542222,1323.94535553681,9,0,0,0,0,0,0,102083
13098880,1323.91513980349,20,0,0,0,0,0,0,120053
11113909,1323.83755379812,10,0,0,0,0,0,0,110399
14203923,1323.83612755867,39,0,4,0,0,0,0,80708
19076302,1323.76216661272,21,0,0,0,0,0,0,116684
17131949,1323.61752807385,53,0,1,0,0,0,0,125777
19161261,1323.59854104596,9,0,0,0,0,0,0,110799
17456836,1323.56689714828,9,0,0,0,0,0,0,91561
4365151,1323.56201111231,10,0,0,0,0,0,0,118234
20353512,1323.50309935024,144,22,23,0,0,0,0,14935
